0,Score
ct_weapon_ak47,93.2
t_weapon_ak47,93.2
ct_weapon_aug,87
t_weapon_aug,87
ct_weapon_awp,148
t_weapon_awp,148
ct_weapon_bizon,52.4
t_weapon_bizon,52.4
ct_weapon_cz75auto,56.5
t_weapon_cz75auto,56.5
ct_weapon_elite,46
t_weapon_elite,46
ct_weapon_famas,59.7
t_weapon_famas,59.7
ct_weapon_g3sg1,118
t_weapon_g3sg1,118
ct_weapon_galilar,68.6
t_weapon_galilar,68.6
ct_weapon_glock,18.6
t_weapon_glock,18.6
ct_weapon_m249,88.2
t_weapon_m249,88.2
ct_weapon_m4a1s,74.6
t_weapon_m4a1s,74.6
ct_weapon_m4a4,77.7
t_weapon_m4a4,77.7
ct_weapon_mac10,52.2
t_weapon_mac10,52.2
ct_weapon_mag7,44.6
t_weapon_mag7,44.6
ct_weapon_mp5sd,54.6
t_weapon_mp5sd,54.6
ct_weapon_mp7,52.7
t_weapon_mp7,52.7
ct_weapon_mp9,54
t_weapon_mp9,54
ct_weapon_negev,73.2
t_weapon_negev,73.2
ct_weapon_nova,30.7
t_weapon_nova,30.7
ct_weapon_p90,60.8
t_weapon_p90,60.8
ct_weapon_r8revolver,60
t_weapon_r8revolver,60
ct_weapon_sawedoff,48.1
t_weapon_sawedoff,48.1
ct_weapon_scar20,118
t_weapon_scar20,118
ct_weapon_sg553,112
t_weapon_sg553,112
ct_weapon_ssg08,70.9
t_weapon_ssg08,70.9
ct_weapon_ump45,57.7
t_weapon_ump45,57.7
ct_weapon_xm1014,45
t_weapon_xm1014,45
ct_weapon_deagle,62.4
t_weapon_deagle,62.4
ct_weapon_fiveseven,52
t_weapon_fiveseven,52
ct_weapon_usps,34.6
t_weapon_usps,34.6
ct_weapon_p250,39.6
t_weapon_p250,39.6
ct_weapon_p2000,31.4
t_weapon_p2000,31.4
ct_weapon_tec9,65.2
t_weapon_tec9,65.2
